REGION_DE_NAISSANCE,CREDIT,NIVEAU,SESSION,MENTION,MOYENNE ANNUELLE,RESULTAT,RESULTAT APP EVALUATION,Année BAC,Sexe,Série,Ets. de provenance,Type candidature,Académie de l'Ets. Prov.,Résidence,Centre d'Ec.,Nbre Fois au BAC,Mention,Résultat,Groupe Résultat,Année de l'Extrait EC,Moy. nde,Moy. ère,Moy. S Term.,Moy. S Term..1,MATH,SCPH,FR,PHILO,AN,SVT,COME,AFTA,EPAT,Tot. Pts au Grp.,Moyenne au Grp.,Moy. Gle,Moy. sur Mat.Fond.,Age en Décembre 2018,Score DAP,Rang DAP,Score L1,Rang L1,S1,S2,S3,Homme,Femme,Série_Encode,Sexe_Encode,RESULTAT_Encode,SESSION_Encode,MENTION_Encode,Academie perf.,Residence perf.,Résidence_Encode,Ets. de provenance_Encode,Centre d'Ec._Encode,Académie de l'Ets. Prov._Encode,REGION_DE_NAISSANCE_Encode
 Diourbel,60,1,Deuxième Session,Passable,10.82,PASSE,1,2018,F,S2,LYCEE DE PIKINE,O,Académie de Pikine - Guédiawaye,GUEDIAWAYE,CEM OGO DIOP,3,Pass,ADM,2,2002,10.3,10.64,12.04,10.76,6,12,13,6,6,6,0.0,0.0,0.0,231,8.88,10.88,11.18,21,129.6,985,10.82,218,0,1,0,0,1,1,0,2,0,0,10.529097744360902,10.416290322580645,43,242,13,9,1
 Dakar,10,1,Deuxième Session,NULL,4.98,NON ADMIS,1,2018,F,S2,LYCEE DE SEBIKOTANE,O,Académie de Rufisque,SEBIKOTANE,LYCEE DE SEBIKOTANE,1,Pass,ADM,2,1999,10.58,10.86,10.48,10.37,7,15,7,7,7,5,0.0,0.0,0.0,221,8.5,10.0,10.71,19,187.0,98,4.98,854,0,1,0,0,1,1,0,0,0,4,10.276041666666666,10.062000000000001,128,254,130,10,0
 Diourbel,20,1,Deuxième Session,NULL,7.87,NON ADMIS,1,2018,M,S2,ECOLE PRIVEE FALLOU GALASS,O,Académie de Diourbel,MBACKE,CEM GAINDE FATMA MBACKE,3,Pass,ADM,1,2007,10.32,12.32,13.36,13.95,14,10,11,6,8,8,0.0,0.0,0.0,260,10.0,10.0,10.47,23,156.6,508,7.87,640,0,1,0,1,0,1,1,0,0,4,10.45184210526316,10.248947368421051,73,60,4,1,1
 Thiès,14,1,Deuxième Session,NULL,6.86,NON ADMIS,1,2018,M,S2,LYCEE ABABACAR SY,O,Académie de Thiès,TIVAOUANE,LYCEE ABABACAR SY,2,Pass,ADM,1,2000,10.65,12.1,10.78,11.06,12,14,9,6,6,8,0.0,0.0,0.0,260,10.0,10.0,11.29,21,188.1,93,6.86,747,0,1,0,1,0,1,1,0,0,4,10.54970588235294,10.565833333333332,145,112,26,14,9
 Diourbel,60,1,Deuxième Session,Passable,11.11,PASSE,1,2018,M,S2,LYCEE CHEIKH MOURATH NDAO,O,Académie de Thiès,MEKHE,CEM  CHEIKH MOURATH NDAO DE MEKHE,1,Pass,ADM,2,2010,11.83,10.9,9.24,8.49,13,10,7,7,6,3,0.0,0.0,0.0,208,8.0,10.08,10.88,20,168.0,284,11.11,177,0,1,0,1,0,1,1,2,0,0,10.54970588235294,10.262727272727274,80,130,0,14,1
 Diourbel,45,1,Deuxième Session,NULL,9.14,AUTORISE,1,2018,M,S2,LYCEE D'ENSEIGNEMENT GENERAL DE DIOURBEL,O,Académie de Diourbel,DIOURBEL,LYCEE TECHNIQUE AMADOU BAMBA,1,Pass,ADM,1,1998,14.18,12.64,15.8,11.56,10,10,15,7,12,10,0.0,0.0,0.0,284,10.92,10.92,10.0,20,150.0,643,9.14,490,0,1,0,1,0,1,1,1,0,4,10.45184210526316,10.391739130434782,27,135,174,1,1
 Fatick,40,1,Deuxième Session,NULL,9.53,NON ADMIS,1,2018,F,S2,ECOLE PRIVEE DAVID DIOP MENDES,O,Académie de Pikine - Guédiawaye,MBAO,ECOLE ELEMENTAIRE LGI MBAO,2,Pass,ADM,2,2010,9.64,10.75,11.31,11.01,10,12,6,6,9,6,0.0,0.0,0.0,237,9.12,10.73,11.06,20,159.6,429,9.53,422,0,1,0,0,1,1,0,0,0,4,10.529097744360902,10.765172413793103,74,55,23,9,2
 Diourbel,60,1,Première Session,Passable,11.04,PASSE,1,2018,F,S2,LYCEE D'ENSEIGNEMENT GENERAL DE DIOURBEL,O,Académie de Diourbel,DIOURBEL,LYCEE D'ENSEIGNEMENT GENERAL DE DIOURBEL,1,Pass,ADM,1,2000,11.43,11.17,12.32,12.75,12,9,12,6,9,13,0.0,0.0,0.0,279,10.73,10.73,11.29,19,163.0,345,111.03999999999999,63,0,1,0,0,1,1,0,2,1,0,10.45184210526316,10.391739130434782,27,135,35,1,1
 Fatick,5,1,Deuxième Session,NULL,3.24,NON ADMIS,1,2018,M,S2,LYCEE KHAR KANE,O,Académie de Fatick,GOSSAS,LYCEE KHAR KANE,2,Pass,ADM,2,1998,10.2,10.56,8.9,9.0,10,11,7,10,13,4,0.0,0.0,0.0,233,8.96,12.08,11.76,20,151.04999999999998,602,3.24,931,0,1,0,1,0,1,1,0,0,4,10.526071428571429,10.618888888888888,40,292,153,2,2
 Thiès,40,1,Deuxième Session,NULL,9.53,NON ADMIS,1,2018,M,S2,LYCEE DE KELLE,O,Académie de Thiès,MEKHE,CEM  CHEIKH MOURATH NDAO DE MEKHE,3,Pass,ADM,1,1995,10.28,9.68,13.12,13.09,12,12,7,4,8,10,0.0,0.0,0.0,269,10.35,10.35,11.29,23,162.0,381,9.53,422,0,1,0,1,0,1,1,0,0,4,10.54970588235294,10.262727272727274,80,182,0,14,9
